node,kind,ref,title,due,status
SS.floor,next,PM-7514,Planned maintenance - calibration,2026-09-20,due
SS.floor,wo,WO-5323,Thermographic survey,2026-09-24,done
SS.floor.deck,last,PM-7335,Planned maintenance - gasket inspection,2026-08-31,done
SS.floor.deck,next,PM-6740,Planned maintenance - clean,2026-10-11,scheduled
SS.floor.rails,last,PM-2306,Planned maintenance - catalyst inspection,2026-05-29,done
SS.floor.rails,next,PM-6985,Planned maintenance - calibration,2026-10-28,scheduled
SS.floor.vdoor,last,PM-1174,Planned maintenance - packing inspection,2026-06-17,done
SS.floor.vdoor,next,PM-8644,Planned maintenance - calibration,2026-09-21,due
SS.floor.vdoor,wo,WO-2034,Inspect DE bearing,2026-09-25,due
SS.floor.setback,last,PM-8387,Planned maintenance - brake pads inspection,2026-07-30,done
SS.floor.setback,next,PM-7448,Planned maintenance - inspection,2026-10-01,scheduled
SS.floor.tongs,last,PM-2086,Planned maintenance - gasket inspection,2026-06-02,done
SS.floor.tongs,next,PM-6137,Planned maintenance - lube,2026-09-21,scheduled
SS.cabin,last,PM-1313,Planned maintenance - gasket inspection,2026-06-26,done
SS.cabin,next,PM-5143,Planned maintenance - calibration,2026-12-07,scheduled
SS.cabin.shell,last,PM-7336,Planned maintenance - brake pads inspection,2026-07-11,done
SS.cabin.shell,next,PM-2334,Planned maintenance - clean,2026-12-05,scheduled
SS.cabin.shell,wo,WO-1247,Inspect DE bearing,2026-09-21,due
SS.cabin.console,last,PM-5149,Planned maintenance - bearing inspection,2026-08-29,done
SS.cabin.console,next,PM-6037,Planned maintenance - clean,2026-11-04,scheduled
SS.cabin.hmi,last,PM-6917,Planned maintenance - gasket inspection,2026-08-19,done
SS.cabin.hmi,next,PM-6474,Planned maintenance - lube,2026-10-05,scheduled
SS.pipe,last,PM-4248,Planned maintenance - refractory inspection,2026-07-19,done
SS.pipe,next,PM-3000,Planned maintenance - lube,2026-10-08,scheduled
SS.pipe.catwalk,last,PM-2489,Planned maintenance - impeller inspection,2026-08-30,done
SS.pipe.catwalk,next,PM-5189,Planned maintenance - inspection,2026-09-27,scheduled
SS.pipe.ramp,last,PM-2951,Planned maintenance - impeller inspection,2026-08-21,done
SS.pipe.ramp,next,PM-9078,Planned maintenance - calibration,2026-11-14,scheduled
SS.pipe.racks,last,PM-7214,Planned maintenance - filter element inspection,2026-08-15,done
SS.pipe.racks,next,PM-1438,Planned maintenance - calibration,2026-09-25,scheduled
SS.pipe.tubulars,last,PM-4922,Planned maintenance - packing inspection,2026-06-15,done
SS.pipe.tubulars,next,PM-6966,Planned maintenance - lube,2026-10-04,scheduled
SS.site,last,PM-3974,Planned maintenance - filter element inspection,2026-07-26,done
SS.site,next,PM-6550,Planned maintenance - inspection,2026-10-09,scheduled
SS.site.pad,last,PM-4212,Planned maintenance - filter element inspection,2026-06-29,done
SS.site.pad,next,PM-4450,Planned maintenance - lube,2026-11-20,scheduled
SS.site.pad,wo,WO-1691,Thermographic survey,2026-09-23,done
SS.site.office,last,PM-4890,Planned maintenance - filter element inspection,2026-05-20,done
SS.site.office,next,PM-2262,Planned maintenance - lube,2026-11-30,scheduled
SS.site.workshop,last,PM-2550,Planned maintenance - seal inspection,2026-06-23,done
SS.site.workshop,next,PM-1491,Planned maintenance - inspection,2026-11-26,scheduled
SS.site.store,last,PM-6025,Planned maintenance - catalyst inspection,2026-09-01,done
SS.site.store,next,PM-9082,Planned maintenance - calibration,2026-09-26,scheduled
SS.site.store,wo,WO-7452,Inspect DE bearing,2026-09-26,due
SS.site.flag,last,PM-4134,Planned maintenance - seal inspection,2026-06-01,done
SS.site.flag,next,PM-2007,Planned maintenance - lube,2026-10-10,scheduled
SS.site.loader,last,PM-2691,Planned maintenance - coupling inspection,2026-07-16,done
SS.site.loader,next,PM-2885,Planned maintenance - inspection,2026-12-14,scheduled
